bookId;title;author;Author l-f;Additional Authors;Isbn;Iisbn13;myRating;averageRating;publisher;Binding;numberOfPages;yearPublished;originalPublicationYear;dateRead;dateAdded;bookshelves;Bookshelves with positions;exclusiveShelf;My Review;Spoiler;Private Notes;Read Count;Owned Copies
39304720;Testowanie Oprogramowania w Praktyce. Studium przypadków 2.0;Adam Roman;Roman, Adam;Karolina Zmitrowicz;;;4;3.75;PWN;Paperback;200;2018;;;2022/06/26;;;read;;;;2;0
61376777;Reguły na czas chaosu;Tomasz Stawiszyński;Stawiszyński, Tomasz;;8324087176;9788324087174;0;3.88;Znak literanova;Hardcover;240;2022;2022;;2022/11/06;to-read;to-read (#235);to-read;;;;0;0
39356155;Czterdzieści pięć lat, które wstrząsnęły Polską. Historia polityczna PRL;Jerzy Eisler;Eisler, Jerzy;;8377003163;9788377003169;0;4.08;Wydawnictwo Czerwone i Czarne;Hardcover;456;2018;2018;;2022/11/02;to-read;to-read (#234);to-read;;;;0;0
36959766;Hyperfocus: How to Be More Productive in a World of Distraction;Chris   Bailey;Bailey, Chris;;0735273685;9780735273689;0;3.90;Random House Canada;Hardcover;256;2018;2018;;2022/10/29;to-read;to-read (#233);to-read;;;;0;0
57792572;Certyfikowany terster ISTQB Poziom Podstawowy;Adam Roman;Roman, Adam;Lucjan Stapp;9788328374;;3;4.75;Helion SA;;410;2020;;2022/10/23;2022/07/26;;;read;;;;1;0
61376718;Kopernik. Rewolucje;Wojciech Orliński;Orliński, Wojciech;;8326837806;9788326837807;0;4.04;Agora S.A.;Hardcover;428;2022;2022;;2022/10/18;to-read;to-read (#232);to-read;;;;0;0
2998152;JavaScript: The Good Parts;Douglas Crockford;Crockford, Douglas;;0596517742;9780596517748;0;4.23;O'Reilly Media;Paperback;153;2008;2008;;2022/10/10;to-read;to-read (#231);to-read;;;;0;0
9422683;JavaScript Patterns: Build Better Applications with Coding and Design Patterns;Stoyan Stefanov;Stefanov, Stoyan;;0596806752;9780596806750;0;4.17;O'Reilly Media;Paperback;216;2010;2010;;2022/10/10;to-read;to-read (#230);to-read;;;;0;0
38563044;Solving Product Design Exercises: Questions & Answers;Artiom Dashinsky;Dashinsky, Artiom;;1977000428;9781977000422;0;4.28;Independently published;Paperback;158;2018;2018;;2022/10/10;to-read;to-read (#229);to-read;;;;0;0
10778139;100 Things Every Designer Needs to Know About People;Susan M. Weinschenk;Weinschenk, Susan M.;;0321767535;9780321767530;0;4.09;New Riders Pub;Paperback;242;2011;2011;;2022/10/10;to-read;to-read (#228);to-read;;;;0;0
35496817;Atomic Design;Brad Frost;Frost, Brad;;0998296600;9780998296609;0;4.02;Brad Frost;Paperback;189;2016;2016;;2022/10/10;to-read;to-read (#227);to-read;;;;0;0
50611580;Laws of UX: Using Psychology to Design Better Products & Services;Jon Yablonski;Yablonski, Jon;;149205531X;9781492055310;0;4.37;O'Reilly Media;Paperback;150;2020;;;2022/10/10;to-read;to-read (#226);to-read;;;;0;0
43190966;Refactoring UI;Adam Wathan;Wathan, Adam;Steve Schoger;;;0;4.68;;ebook;252;2018;;;2022/10/10;to-read;to-read (#225);to-read;;;;0;0
38478096;Algorytmy. Kiedy mniej myśleć i inne sposoby na racjonalne życie;Brian Christian;Christian, Brian;;8372297134;9788372297136;0;4.13;Feeria;Paperback;472;2018;2016;;2022/10/09;to-read;to-read (#224);to-read;;;;0;0
59341725;Przepaść (Komisarz Forst, #7);Remigiusz Mróz;Mróz, Remigiusz;;8381957125;9788381957120;4;4.16;Filia;Paperback;560;2021;2021;2022/09/30;2022/08/23;;;read;;;;1;0
61334643;Demony Rosji;Witold Jurasz;Jurasz, Witold;;8366219631;9788366219632;4;3.74;Czerwone i Czarne;Paperback;304;2022;2022;2022/09/29;2022/09/20;;;read;;;;1;0
34928122;Artemis;Andy Weir;Weir, Andy;;0553448129;9780553448122;0;3.69;Crown;Hardcover;305;2017;2017;;2022/09/25;to-read;to-read (#223);to-read;;;;0;0
53328332;Less Is More: How Degrowth Will Save the World;Jason Hickel;Hickel, Jason;Kofi Klu, Rupert Read;1786091216;9781786091215;5;4.51;Windmill Books;Paperback;336;2021;2020;2022/09/25;2021/06/25;;;read;;;;1;0
59900689;How to Prevent the Next Pandemic;Bill  Gates;Gates, Bill;;0593534484;9780593534489;0;3.77;Knopf;Hardcover;304;2022;2022;;2022/09/18;to-read;to-read (#222);to-read;;;;0;0
60868193;Zaufarium;Miłosz Brzeziński;Brzeziński, Miłosz;;;9788394985776;0;4.56;989 – Instytut Kreowania Skuteczności;Hardcover;700;2022;;;2022/09/18;to-read;to-read (#221);to-read;;;;0;0
50153231;Jak rozmawiać z nieznajomymi. Co powinniśmy wiedzieć o ludziach, o których nic nie wiemy;Malcolm Gladwell;Gladwell, Malcolm;Agnieszka Sobolewska;8324070680;9788324070688;5;4.02;Społeczny Instytut Wydawniczy Znak;Hardcover;336;2020;2019;2022/09/16;2021/06/25;;;read;;;;1;0
1871773;Polactwo;Rafał A. Ziemkiewicz;Ziemkiewicz, Rafał A.;;8389011417;9788389011411;4;3.67;Red Horse;Paperback;283;2004;2004;;2022/09/16;;;read;;;;2;0
6480781;Open;Andre Agassi;Agassi, Andre;J.R. Moehringer, Андре Агаси;0307268195;9780307268198;0;4.30;Knopf;Hardcover;388;2009;2009;;2022/09/16;to-read;to-read (#220);to-read;;;;0;0
48570456;Effective TypeScript: 62 Specific Ways to Improve Your TypeScript;Dan Vanderkam;Vanderkam, Dan;;;;0;4.44;O'Reilly Media;Kindle Edition;266;2019;2019;;2022/09/03;to-read;to-read (#219);to-read;;;;0;0
22668729;Hooked: How to Build Habit-Forming Products;Nir   Eyal;Eyal, Nir;Ryan Hoover;1591847788;9781591847786;0;4.10;Portfolio;Hardcover;256;2014;2013;;2022/08/17;to-read;to-read (#218);to-read;;;;0;0
60886188;Nasza część nocy;Mariana Enríquez;Enríquez, Mariana;Marta Jordan, Katarzyna Okrasko;;9788381439374;0;4.32;Echa;ebook;720;2021;2019;;2022/08/09;to-read;to-read (#217);to-read;;;;0;0
58782897;The End of the World Is Just the Beginning: Mapping the Collapse of Globalization;Peter Zeihan;Zeihan, Peter;;006323047X;9780063230477;0;4.21;Harper Business;Hardcover;512;2022;2022;;2022/08/07;to-read;to-read (#216);to-read;;;;0;0
59808311;Speak Easy: Connect with Every Conversation;Lou  Diamond;Diamond, Lou;;177458185X;9781774581858;0;3.69;Page Two;Paperback;152;2022;;;2022/08/06;to-read;to-read (#215);to-read;;;;0;0
43426088;TCP/IP w 24 godziny. Wydanie 6;Joe Casad;Casad, Joe;;8328337088;9788328337084;0;3.48;Helion;Paperback;0;;;;2022/07/31;to-read;to-read (#214);to-read;;;;0;0
17161383;KOD - Ukryty język sprzętu komputerowego i oprogramowania;Charles Petzold;Petzold, Charles;Jacek B. Szporko;8320426863;;0;4.39;Wydawnictwa Naukowo-Techniczne;Hardcover;438;2002;1999;;2022/07/31;to-read;to-read (#213);to-read;;;;0;0
54460981;Prosta sprawa (Bezimienny, #1);Wojciech Chmielarz;Chmielarz, Wojciech;;8366500853;9788366500853;3;3.63;Marginesy;Paperback;384;2020;2020;2022/07/26;2021/01/20;;;read;;;;1;0
59616977;Building a Second Brain: A Proven Method to Organize Your Digital Life and Unlock Your Creative Potential;Tiago Forte;Forte, Tiago;;1982167386;9781982167387;0;4.08;Atria Books;Hardcover;272;2022;2022;;2022/07/23;to-read;to-read (#212);to-read;;;;0;0
20518872;The Three-Body Problem (Remembrance of Earth’s Past, #1);Liu Cixin;Cixin, Liu;Ken Liu, Cixin Liu;;;0;4.09;Tor Books;Hardcover;472;2014;2006;;2022/07/23;to-read;to-read (#211);to-read;;;;0;0
1836316;Worek kości;Stephen King;King, Stephen;Arkadiusz Nakoniecznik;8371804814;9788371804816;0;3.92;Prószyński i S-ka;Paperback;552;1998;1998;;2022/07/21;to-read;to-read (#210);to-read;;;;0;0
54315285;The Self-Taught Software Tester A Step By Step Guide to Learn Software Testing Using Real-Life Project;Chhavi Raj Dosaj;Dosaj, Chhavi Raj;;;;0;4.12;;Kindle Edition;0;2020;;;2022/07/16;to-read;to-read (#209);to-read;;;;0;0
58047078;API Testing and Development with Postman: A practical guide to creating, testing, and managing APIs for automated software testing;Dave Westerveld;Westerveld, Dave;;;;0;3.11;Packt Publishing;Kindle Edition;340;2021;;;2022/07/16;to-read;to-read (#208);to-read;;;;0;0
6570502;Switch: How to Change Things When Change Is Hard;Chip Heath;Heath, Chip;Dan Heath;0385528752;9780385528757;0;4.03;Crown Business;Hardcover;305;2010;2010;;2022/07/12;to-read;to-read (#207);to-read;;;;0;0
69242;Made to Stick: Why Some Ideas Survive and Others Die;Chip Heath;Heath, Chip;Dan Heath;1400064287;9781400064281;0;3.98;Random House;Hardcover;291;2007;2006;;2022/07/12;to-read;to-read (#206);to-read;;;;0;0
58605460;Making Numbers Count: The Art and Science of Communicating Numbers;Chip Heath;Heath, Chip;Karla Starr;;;0;3.90;Avid Reader Press / Simon & Schuster;Kindle Edition;224;2022;2022;;2022/07/12;to-read;to-read (#205);to-read;;;;0;0
60040189;Projekt Riese;Remigiusz Mróz;Mróz, Remigiusz;;8381958105;9788381958103;4;3.54;Filia;Paperback;480;2022;2022;2022/07/10;2022/02/15;;;read;;;;1;0
30816008;Inclusive Design Patterns - Coding Accessibility Into Web Design;Heydon Pickering;Pickering, Heydon;;3945749433;9783945749432;0;4.34;Smashing Magazine;Hardcover;312;2016;;;2022/07/07;to-read;to-read (#204);to-read;;;;0;0
42272974;Form Design Patterns;Adam Silver;Silver, Adam;;;9783945749739;0;3.98;Smashing Media AG;Hardcover;384;2018;;;2022/07/07;to-read;to-read (#203);to-read;;;;0;0
54860365;Learn Like a Pro;Barbara Oakley;Oakley, Barbara;Olav Schewe;1250799376;9781250799371;0;4.14;Essentials;Paperback;160;2021;2021;;2022/07/04;to-read;to-read (#202);to-read;;;;0;0
60538321;Na ostrzu noża;Rahul Jandial;Jandial, Rahul;;8382251331;9788382251333;0;4.18;Feeria;Paperback;250;2022;;;2022/07/03;to-read;to-read (#201);to-read;;;;0;0
58154651;Kierunek jakość. Jak unikać błędów w projekcie;Aleksandra Kunysz;Kunysz, Aleksandra;;;9788328383982;5;4.24;Helion S.A.;ebook;170;2021;;2022/06/30;2021/05/25;;;read;;;;1;0
50260579;Automatyzacja testów - Kompletny przewodnik dla testerów oprogramowania;Arnon Axelrod;Axelrod, Arnon;Krzysztof Kapustka;;9788301208035;0;3.68;Wydawnictwo Naukowe PWN;Kindle Edition;456;2020;;;2022/06/26;to-read;to-read (#200);to-read;;;;0;0
33792266;Testowanie i jakość oprogramowania. Metody, narzędzia, techniki;Adam Roman;Roman, Adam;;8301181605;9788301181604;0;4.17;Wydawnictwo Naukowe PWN;Hardcover;1100;2015;2015;;2022/06/26;to-read;to-read (#199);to-read;;;;0;0
